ID,Year,Start,End,Operation,Parent,Duration (days),Days into parent,Drones,Air to air,Cruise missiles,Aerial bombing,Close air support,Ground troops,Paramil,US allies,State targets,Non-state targets,Latitude,Longitude,Urban,Forest,Mountain,Side A casualties,Side B casualties,Civilian casualties,US casualties,Latitude_Clean,Longitude_Clean
157,2007,7/14/2007,7/14/2007,Operation Polar Tempest,Iraq conflict (2003–present),0,1577,0,0,0,0,0,1,0,1,0,1,,,1,0,0,0,1,,0,33.2,44.3
141,2007,7/15/2007,7/15/2007,Operation Mawtini,Iraq conflict (2003–present),0,1578,0,0,0,0,0,1,0,1,0,1,329.000.015.258.789,415.999.984.741.211,0,0,0,0,,,0,32.90000153,41.59999847
158,2007,7/15/2007,7/15/2007,Operation Purple Haze,Iraq conflict (2003–present),0,1578,0,0,0,0,0,1,0,1,0,1,33.315.241,443.660.671,2,0,0,0,0,0,0,33.315241,44.3660671
140,2007,7/16/2007,8/15/2007,Operation Marne Avalanche,Iraq conflict (2003–present),30,1579,0,0,0,0,0,0,0,1,0,1,33.315.241,443.660.671,2,0,0,0,83,,0,33.315241,44.3660671
226,2007,7/24/2007,7/27/2007,Operation Hammer (Afghanistan),War in Afghanistan,3,2116,0,0,0,0,1,0,0,5,1,1,313.636.474,639.586.111,0,0,1,3,100,,0,31.3636474,63.9586111
149,2007,8/15/2007,1/1/2008,Operation Phantom Strike,Iraq conflict (2003–present),139,1609,0,0,0,1,1,1,0,1,1,3,33.223.191,43.679.291,,,,11,330,,11,33.223191,43.679291
236,2007,10/19/2007,10/25/2007,Operation Rock Avalanche,War in Afghanistan,6,2203,0,0,0,0,1,1,0,1,1,1,348.465.893,71.097.317,0,0,1,3,45,10,,34.8465893,71.097317
150,2007,11/16/2007,11/16/2007,Operation Marne Courageous,Iraq conflict (2003–present),0,1702,0,0,0,0,1,1,0,0,0,1,33.315.241,443.660.671,2,0,0,0,0,0,0,33.315241,44.3660671
138,2007,11/17/2007,,Operation Lion's Leap,Iraq conflict (2003–present),,1703,0,0,0,0,0,1,0,3,1,1,319.740.458,448.957.445,2,0,0,0,0,0,0,31.9740458,44.8957445
148,2008,1/8/2008,7/28/2008,Operation Phantom Phoenix,Iraq conflict (2003–present),202,1755,0,0,0,1,0,1,1,3,0,2,33.223.191,43.679.291,,,,839,890,,59,33.223191,43.679291
147,2008,1/23/2008,7/28/2008,Nineveh campaign,Iraq conflict (2003–present),187,1770,0,0,0,0,0,1,0,1,0,2,36.229.574,422.362.435,0,0,0,337,224,548,17,36.229574,42.2362435
